"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DME_TASKS_BTN_ABANDON","ABANDON TASK","ABANDON TASK","ABANDON TASK","AUFGABE ABBRECHEN","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK","ABANDON TASK",
"STR_DME_TASKS_BTN_ACCEPT","ACCEPT","ACCEPT","ACCEPT","ANNEHMEN","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT","ACCEPT",
"STR_DME_TASKS_BTN_BACK","< BACK","< BACK","< BACK","< ZURÜCK","< BACK","< BACK","< BACK","< BACK","< BACK","< BACK","< BACK","< BACK","< BACK","< BACK",
"STR_DME_TASKS_BTN_CANCEL","CANCEL","CANCEL","CANCEL","ABBRECHEN","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL",
"STR_DME_TASKS_BTN_CHOICE","DECISION ...","DECISION ...","DECISION ...","ENTSCHEIDUNG ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...","DECISION ...",
"STR_DME_TASKS_BTN_CLAIM","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","BELOHNUNG ABHOLEN","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD","CLAIM REWARD",
"STR_DME_TASKS_BTN_HANDOVER","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","ITEMS ABGEBEN ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...","HAND OVER ITEMS ...",
"STR_DME_TASKS_BTN_REPLACE","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","AUFGABE ERSETZEN ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...","REPLACE TASK ...",
"STR_DME_TASKS_BTN_REPLACE_CONFIRM","REPLACE","REPLACE","REPLACE","ERSETZEN","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE","REPLACE",
"STR_DME_TASKS_BTN_TRACK","TRACK","TRACK","TRACK","VERFOLGEN","TRACK","TRACK","TRACK","TRACK","TRACK","TRACK","TRACK","TRACK","TRACK","TRACK",
"STR_DME_TASKS_BTN_TRACKER_FULL","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER VOLL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)","TRACKER FULL (%1)",
